,id_hs,id_hh,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,num_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_occu,num_tot_energy_heat,num_tot_gas_heat,num_mhh_age,num_hh_ann_incm
2454,2016_HS3901000017,2016_HH13390009,3,2,1,1,6,3,3,99.0,3,1,1,8,2,3,3,1,3,10678.3,0.0,35,18000000
2455,2016_HS3901000018,2016_HH13390010,3,2,3,1,5,4,6,122.1,3,1,2,16,1,3,3,5,3,7881.3469843,0.0,45,54000000
2456,2016_HS3901000019,2016_HH13390011,3,2,3,2,3,4,5,115.5,3,1,1,16,1,1,3,3,5,6021.18,0.0,35,18000000
2457,2016_HS3901000020,2016_HH13390012,3,2,3,6,3,3,4,118.8,3,1,2,14,1,3,3,3,3,5432.55,0.0,35,54000000
2458,2016_HS3901000021,2016_HH15390006,3,2,1,1,6,4,5,132.0,4,1,2,12,2,3,3,3,1,12760.6,0.0,45,42000000
2459,2016_HS3901000022,2016_HH14390002,3,2,3,5,2,1,5,112.2,3,1,2,7,1,3,5,4,1,5756.2,0.0,45,54000000
2460,2016_HS3901000023,2016_HH14390003,3,2,3,7,2,2,5,69.3,3,1,1,7,1,3,3,4,1,5093.35,0.0,45,42000000
2461,2016_HS3901000024,2016_HH15390007,3,2,3,3,3,4,5,118.8,3,1,2,15,1,3,4,3,4,23458.3,20964.3,35,42000000
2462,2016_HS3901000025,2016_HH16390001,3,2,2,1,2,3,6,132.0,4,1,2,20,2,3,3,4,3,10449.8,0.0,35,54000000
2463,2016_HS3901000026,2016_HH15390008,3,2,2,2,2,1,6,82.5,3,1,1,8,1,3,3,3,3,4926.35,0.0,35,42000000
2464,2016_HS3901000027,2016_HH15390009,3,2,2,1,5,1,6,99.0,3,1,2,12,1,3,3,2,3,6136.0,0.0,67,42000000
2465,2016_HS3901000028,2016_HH13390013,3,2,3,5,3,1,5,118.8,3,1,2,16,1,3,5,3,1,14962.84099,12414.66099,35,54000000
2466,2016_HS3901000029,2016_HH13390014,3,2,3,6,4,1,6,62.7,1,1,1,7,1,3,4,3,1,12450.617838,11048.817838,45,42000000
2467,2016_HS3901000030,2016_HH13390015,3,2,3,3,3,2,5,69.3,2,1,1,4,1,3,4,5,3,4439.96,1773.1,35,25000000
2468,2016_HS3901000031,2016_HH13390016,3,2,1,2,5,4,4,132.0,3,1,2,8,2,3,3,3,3,5893.83,0.0,67,42000000
2469,2016_HS3901000032,2016_HH13390017,3,2,1,2,5,1,4,128.7,3,1,1,13,1,3,3,4,1,5550.1,0.0,45,42000000
2470,2016_HS3901000033,2016_HH13390018,3,2,2,2,5,1,5,56.1,1,1,1,8,2,3,3,4,1,16969.2,0.0,45,42000000
2471,2016_HS3901000034,2016_HH13390019,3,2,1,1,6,1,6,66.0,2,1,1,7,2,2,3,4,1,9838.8,0.0,45,42000000
2472,2016_HS3901000035,2016_HH13390020,3,2,1,2,5,2,3,59.4,2,1,1,12,2,3,3,4,1,5157.79,0.0,55,42000000
2473,2016_HS3901000036,2016_HH11390002,3,2,1,1,6,3,1,108.9,4,1,2,5,1,3,3,4,2,5354.93,0.0,55,25000000
2474,2016_HS3901000037,2016_HH15390010,3,2,1,1,6,1,3,66.0,2,1,1,12,2,3,3,3,1,17320.98,0.0,45,42000000
2475,2016_HS3901000038,2016_HH12390003,3,2,2,1,5,2,5,95.7,3,1,2,10,1,1,3,5,3,6287.89,0.0,55,42000000
2476,2016_HS3901000039,2016_HH11390003,3,2,2,3,3,2,5,95.7,3,1,2,8,1,1,3,4,3,5579.97,0.0,55,25000000
2477,2016_HS3902000001,2016_HH11390001,3,2,1,1,6,2,3,56.1,2,1,1,3,2,1,3,3,1,11343.79,0.0,45,25000000
2478,2017_HS1101000001,2017_HH13110253,1,1,3,9,4,1,5,125.4,4,1,2,12,1,3,5,5,1,8307.76,6049.4,45,66000000
2479,2017_HS1101000002,2017_HH14110053,1,1,2,2,4,3,5,99.0,3,1,2,20,1,3,4,3,3,24438.403026,21490.566406,55,78000000
2480,2017_HS1101000004,2017_HH14110055,1,1,2,1,6,3,3,158.39999999999998,3,1,1,15,1,3,4,4,1,12559.75,10711.61,45,25000000
2481,2017_HS1101000007,2017_HH14110057,1,1,1,1,5,2,3,62.7,3,1,1,10,1,3,4,2,1,13374.45,10085.81,55,54000000
2482,2017_HS1101000008,2017_HH14110058,1,1,1,2,5,1,3,115.5,3,1,1,8,1,3,4,4,3,11364.27,7686.91,55,54000000
2483,2017_HS1101000009,2017_HH17110001,1,1,1,1,4,2,6,132.0,3,1,2,6,1,3,4,3,3,6287.812032,1678.212032,25,54000000
2484,2017_HS1101000010,2017_HH14110056,1,1,1,1,6,1,6,148.5,4,1,2,8,1,3,5,4,1,13485.94,10137.96,55,66000000
2485,2017_HS1102000001,2017_HH13110255,1,1,2,2,5,2,4,99.0,2,1,1,10,1,3,5,4,1,15702.059276,12859.759276,55,78000000
2486,2017_HS1102000003,2017_HH11110023,1,1,1,1,5,1,2,122.1,4,1,2,5,1,3,4,5,3,9096.68,7301.0,55,18000000
