,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,num_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_occu,num_tot_energy_heat,num_mhh_age,num_hh_ann_incm
1108,1,1,3,6,3,3,6,148.5,4,1,2,15,1,3,5,4,1,14606.04,55,7
1109,3,2,3,1,4,1,4,79.19999999999999,3,1,1,2,1,1,4,3,1,14957.152276,45,42000000
1110,3,2,1,2,4,4,4,59.4,2,1,1,3,2,3,3,1,3,6244.2280978,67,18000000
1111,1,1,3,7,3,2,5,105.6,3,1,2,14,1,3,5,4,1,10946.379044,45,6
1112,3,1,3,3,4,1,4,99.0,3,1,1,4,1,1,4,4,1,17249.539259,45,5
1113,2,2,3,14,4,2,4,72.6,3,1,1,8,1,1,4,2,5,4521.175011,67,18000000
1114,3,1,1,2,4,1,6,132.0,3,1,2,12,1,3,4,3,5,1517.65,55,4
1115,1,1,1,1,5,2,2,75.89999999999999,4,1,1,6,1,3,4,4,1,10681.065136,45,42000000
1116,2,2,1,1,4,1,4,85.8,3,1,1,8,2,3,3,2,5,24086.16,67,18000000
1117,3,1,3,1,2,1,4,82.5,3,1,2,6,1,3,4,2,1,10562.047895,55,5
1118,3,2,2,1,5,4,4,79.19999999999999,2,1,1,6,4,3,3,2,1,8146.09,55,25000000
1119,1,2,2,3,4,1,4,66.0,3,1,1,9,1,3,5,3,3,11590.044536,55,3
1120,2,2,1,1,5,3,5,33.0,2,1,1,8,1,3,3,1,2,4259.7,35,18000000
1121,1,1,3,12,2,1,3,89.1,3,1,1,14,3,3,5,5,3,12293.750405,55,6
1122,1,1,2,4,5,1,5,165.0,5,1,2,16,1,3,4,4,3,17675.078688,55,5
1123,1,1,3,4,3,1,5,105.6,3,1,2,15,1,3,5,5,1,13947.74,35,7
1124,1,1,3,1,5,2,4,105.6,3,1,2,12,1,3,4,3,1,20515.01,45,42000000
1125,2,2,1,1,6,3,5,85.8,3,1,1,8,2,3,3,2,1,8794.94,35,5
1126,1,1,1,1,5,4,3,95.7,3,1,2,8,1,1,4,1,1,12271.2,35,18000000
1127,3,1,3,6,4,1,4,122.1,4,1,2,15,1,3,4,3,1,13852.347634,55,96000000
1128,1,2,3,6,3,1,6,161.7,4,1,2,18,1,3,4,6,1,24022.3174,35,66000000
1129,1,1,1,1,6,3,2,69.3,3,1,1,10,1,3,4,4,5,16931.6,55,25000000
