,id_hs,id_hh,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,num_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_occu,num_tot_energy_heat,num_tot_gas_heat,num_mhh_age,num_hh_ann_incm
863,HS2403000027,HH16240006,3,1,2,2,5,1,1,66.0,4,1,2,6,1,3,4,2,1,17566.74,15040.06,55,25000000
864,HS2403000028,HH15240013,3,1,1,1,5,2,4,105.6,2,1,1,8,1,3,4,4,1,13051.94,9595.6,45,54000000
865,HS2403000029,HH15240014,3,1,1,1,6,2,2,46.199999999999996,1,1,1,4,1,1,3,1,5,4061.3,0.0,67,12000000
866,HS2403000030,HH16240007,3,1,3,4,6,1,5,112.19999999999999,3,1,2,7,1,3,4,2,1,22469.43,19264.21,45,66000000
867,HS2404000001,HH15240017,3,1,3,7,4,1,5,115.5,3,1,1,12,1,3,4,4,3,25315.21,23019.01,45,42000000
868,HS2404000002,HH11240013,3,1,3,1,5,1,5,108.89999999999999,3,1,2,7,1,1,4,4,1,13613.41,9585.17,45,25000000
869,HS2404000003,HH11240014,3,1,3,12,4,1,5,108.89999999999999,3,1,2,7,1,1,4,2,1,10059.47,8729.91,67,25000000
870,HS2404000004,HH12240025,3,1,3,14,4,1,5,108.89999999999999,3,1,2,9,1,3,4,4,1,9043.65,6268.43,45,54000000
871,HS2404000005,HH11240015,3,1,3,4,4,1,5,108.89999999999999,3,1,2,7,1,1,4,4,5,8950.895605,5344.055605,55,25000000
872,HS2404000006,HH11240016,3,1,3,5,3,1,5,108.89999999999999,3,1,2,7,1,1,4,4,5,9654.953112,6392.113112,55,25000000
873,HS2404000007,HH14240003,3,1,3,1,5,2,4,105.6,3,1,2,8,1,3,4,4,3,12766.91,10294.41,55,42000000
