,id_hh,id_hs,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,num_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_occu,num_hh_ann_incm,num_heat_satis,num_heat_cost_rel,num_mhh_age,num_tot_energy_heat,num_tot_gas_heat,num_tot_gas_vol,lv_cg,lv_meter,lv_indv,lv_measure
2239,HH13370021,HS3739000011,2,2,1,1,6,1,3,49.5,3,1,1,8,2,1,3,2,5,1,3,3,67,7222.23,0.0,0.0,0,0.0,1,0.0
2240,HH14370023,HS3739000012,2,2,1,1,2,1,4,99.0,3,1,1,4,2,3,3,2,4,3,3,3,67,8218.5600589,0.0,0.0,0,1.0,1,3.0
2241,HH11370065,HS3739000013,2,2,1,1,6,3,2,42.9,2,1,1,3,2,3,3,4,3,5,3,3,67,9720.12,0.0,0.0,0,0.0,1,0.0
2242,HH11370066,HS3739000014,2,2,3,1,5,2,5,69.3,3,1,1,8,1,3,4,4,3,3,3,2,45,7312.585192,4805.685192,467.0248,1,1.0,1,3.0
2243,HH11370068,HS3739000016,2,2,3,13,4,2,5,69.3,3,1,1,8,1,3,4,4,1,4,3,3,45,13010.4876,10562.0676,1026.44,1,1.0,1,4.0
2244,HH13370022,HS3739000017,2,2,3,7,2,3,5,69.3,3,1,1,8,1,3,4,4,1,3,2,3,45,10611.925697,7789.405697,756.98792002,1,1.0,1,2.0
2245,HH11370069,HS3739000018,2,2,3,8,2,2,5,69.3,3,1,1,8,1,3,4,5,3,3,3,3,45,10608.419597,8159.139597,792.9193,1,1.0,1,3.0
2246,HH13370023,HS3739000019,2,2,3,9,4,2,5,82.5,3,0,1,8,1,3,4,4,1,3,2,4,35,12441.453078,9631.833078,936.0382,1,1.0,1,3.0
2247,HH11370070,HS3739000020,2,2,3,1,5,2,5,92.4,3,1,1,7,1,3,4,5,3,3,3,3,45,11394.41,8756.79,851.0,1,1.0,1,1.0
2248,HH11370071,HS3739000021,2,2,3,4,4,2,5,69.3,3,1,1,8,1,3,4,4,3,3,3,3,35,10340.349245,7617.589245,740.2905,1,1.0,1,3.0
2249,HH11370072,HS3739000022,2,2,3,10,5,2,5,69.3,3,1,1,8,1,3,4,2,3,2,3,2,55,5336.42,2613.66,254.0,1,1.0,1,1.0
2250,HH11370073,HS3739000023,2,2,3,5,4,2,5,69.3,3,1,1,8,1,3,4,4,1,3,2,3,45,10529.25,6986.91,679.0,1,1.0,1,1.0
2251,HH11370074,HS3739000024,2,2,3,15,3,2,5,69.3,3,1,1,8,1,3,4,5,3,4,2,2,35,12052.863605,9007.603605,875.3745,1,1.0,1,3.0
2252,HH11370075,HS3739000025,2,2,3,1,3,2,5,75.9,3,1,1,7,1,3,4,3,2,3,3,3,67,8481.608939,5490.528939,533.5791,1,1.0,1,1.0
2253,HH17370027,HS3739000027,2,2,3,1,4,2,5,69.3,3,1,1,8,1,3,4,4,1,3,3,3,45,12698.92,8499.54,826.0,1,1.0,1,1.0
2254,HH18370022,HS3739000028,2,2,1,1,6,3,3,85.8,3,1,2,8,2,3,5,2,5,1,2,3,67,7149.85,0.0,0.0,0,0.0,1,0.0
2255,HH15380008,HS3803000001,3,2,1,1,6,3,1,99.0,2,1,1,14,4,3,3,1,5,1,3,3,67,10050.82,0.0,0.0,0,0.0,1,0.0
2256,HH16380003,HS3803000002,3,2,3,17,4,4,4,105.6,3,1,2,13,1,3,4,2,4,3,3,3,67,12702.502222,9568.6622223,929.89914697,1,1.0,1,1.0
2257,HH11380067,HS3803000003,3,2,1,1,5,2,4,89.1,4,1,2,10,1,3,4,5,1,2,3,3,45,12387.337101,9131.3771013,887.40302247,1,1.0,1,1.0
2258,HH11380068,HS3803000004,3,2,1,1,5,4,4,85.8,3,1,1,8,2,3,3,4,1,3,3,3,45,6872.72,0.0,0.0,0,0.0,1,0.0
2259,HH14380010,HS3803000005,3,2,1,1,5,3,4,66.0,3,1,1,10,2,3,3,5,1,7,3,3,45,11545.62,0.0,0.0,0,0.0,1,0.0
2260,HH15380009,HS3803000012,3,2,3,1,4,2,3,42.9,2,0,1,12,1,1,4,3,1,3,3,3,55,12511.005184,9971.4251844,969.04034834,1,1.0,1,1.0
2261,HH15380010,HS3803000013,3,2,3,1,5,2,3,42.9,2,0,1,12,1,1,4,3,1,2,3,3,55,14598.418948,12110.438948,1176.913406,1,1.0,1,1.0
2262,HH15380011,HS3803000014,3,2,3,2,4,2,3,42.9,2,0,1,12,1,3,4,2,1,3,3,3,25,11487.318884,8808.4188841,856.01738426,1,1.0,1,1.0
2263,HH15380012,HS3803000015,3,2,3,3,4,2,3,42.9,2,0,1,12,1,1,4,1,3,3,3,3,25,7602.16773,5089.24773,494.58189796,1,1.0,1,1.0
2264,HH15380013,HS3803000016,3,2,3,4,4,2,3,42.9,2,0,1,12,1,1,4,2,1,2,3,2,55,9494.4952506,7000.4952506,680.32023815,1,1.0,1,1.0
2265,HH11380071,HS3803000017,3,2,3,11,3,2,6,115.5,3,1,2,10,1,1,4,4,4,3,3,3,67,12845.96,9096.36,884.0,1,1.0,1,1.0
2266,HH11380070,HS3803000018,3,2,1,1,5,1,3,82.5,3,1,1,8,2,3,3,5,1,8,3,3,55,9782.16,0.0,0.0,0,0.0,1,0.0
2267,HH17380001,HS3803000019,3,2,3,11,4,1,4,105.6,3,1,2,10,1,1,4,4,1,4,3,3,55,11682.42,7902.72,768.0,1,1.0,1,1.0
2268,HH17380002,HS3803000020,3,2,3,13,4,3,6,112.2,3,1,2,12,1,3,4,3,1,6,3,3,55,9205.2837261,4482.1637261,435.58442431,1,1.0,1,1.0
2269,HH12380018,HS3806000001,3,2,3,3,2,3,3,79.2,3,1,1,8,2,3,3,2,4,1,3,3,67,10744.326678,0.0,0.0,0,1.0,1,1.0
2270,HH12380019,HS3806000002,3,2,3,4,6,1,3,79.2,3,1,1,4,1,3,4,3,3,2,4,3,67,10840.992403,7222.9724031,701.94095268,1,1.0,1,1.0
2271,HH11380006,HS3807000007,3,2,3,2,4,1,4,69.3,3,1,1,8,1,3,4,3,3,5,4,3,35,16322.885443,12070.185443,1173.0015008,1,1.0,1,1.0
2272,HH11380013,HS3807000014,3,2,3,2,2,2,3,49.5,3,1,1,6,1,3,4,2,5,1,3,3,67,5567.8991312,3201.1791312,311.09612548,1,1.0,1,1.0
2273,HH11380014,HS3807000015,3,2,3,5,2,2,3,49.5,3,1,1,6,1,1,4,1,5,2,4,3,45,5126.8733015,3189.2933015,309.94103999,1,1.0,1,1.0
2274,HH11380016,HS3807000017,3,2,3,5,2,2,3,49.5,3,1,1,6,1,1,4,1,5,2,4,4,67,6759.5536552,4252.6536552,413.2802386,1,1.0,1,2.0
2275,HH11380018,HS3807000021,3,2,3,1,5,2,5,79.2,2,1,1,8,1,3,4,4,1,4,5,4,55,14329.030174,10041.070174,975.80856887,1,1.0,1,1.0
2276,HH11380019,HS3807000022,3,2,3,1,5,2,5,79.2,2,1,1,8,1,3,4,4,1,5,5,3,55,13216.796764,9222.0967637,896.2193162,1,1.0,1,1.0
2277,HH11380021,HS3807000024,3,2,3,13,4,2,5,79.2,2,1,1,8,1,3,4,2,3,3,5,5,67,11477.085872,7347.3658723,714.0297252,1,1.0,1,1.0
2278,HH11380023,HS3807000026,3,2,3,2,4,2,5,79.2,2,1,1,8,1,3,4,3,1,5,5,3,55,14422.418777,10083.718777,979.95323394,1,1.0,1,1.0
2279,HH11380024,HS3807000027,3,2,3,3,4,2,5,79.2,2,1,1,8,1,3,4,3,1,5,3,4,55,12878.958046,9002.9380462,874.92109292,1,1.0,1,1.0
2280,HH11380025,HS3807000028,3,2,3,7,4,2,5,79.2,2,1,1,8,1,3,4,3,1,4,2,3,55,13947.748226,10635.888226,1033.6140161,1,1.0,1,1.0
2281,HH11380026,HS3807000029,3,2,3,8,4,2,5,79.2,2,1,1,8,1,3,4,3,3,4,3,4,55,11335.81412,7827.01412,760.64277162,1,1.0,1,1.0
2282,HH11380027,HS3807000030,3,2,3,9,4,2,5,79.2,2,1,1,8,1,3,4,4,1,6,2,4,55,13005.150871,8965.7308715,871.30523532,1,1.0,1,1.0
2283,HH14380006,HS3807000031,3,2,3,1,4,2,5,99.0,3,1,1,8,1,3,4,2,1,4,4,4,45,11444.433128,8117.9531283,788.91672773,1,1.0,1,1.0
2284,HH12380010,HS3807000032,3,2,1,1,6,2,4,52.8,2,1,1,3,2,3,3,1,1,2,4,5,55,6456.08,0.0,0.0,0,0.0,1,0.0
2285,HH12380011,HS3807000033,3,2,1,2,5,2,4,92.4,3,1,1,7,4,3,3,3,3,3,3,4,67,13033.3,0.0,0.0,0,0.0,1,0.0
2286,HH14380007,HS3807000035,3,2,2,3,4,2,6,79.2,3,1,1,8,1,3,4,5,3,4,5,3,55,12151.77204,8336.8120397,810.18581532,1,1.0,1,1.0
2287,HH11380028,HS3807000036,3,2,3,1,4,4,4,105.6,3,1,2,9,1,3,4,3,3,4,4,3,67,8247.4023218,5427.4623218,527.45017705,1,1.0,1,1.0
2288,HH11380029,HS3807000037,3,2,3,10,4,4,4,105.6,3,1,2,9,1,2,4,3,1,5,4,3,35,8196.8038255,5387.1838255,523.5358431,1,1.0,1,1.0
2289,HH11380030,HS3807000038,3,2,3,16,4,4,4,105.6,3,1,2,9,1,3,4,4,1,5,4,4,45,7727.6544369,4987.6944369,484.71277326,1,1.0,1,1.0
2290,HH11380031,HS3807000039,3,2,3,3,4,4,4,105.6,3,1,2,9,1,3,4,4,3,5,4,3,55,8226.130897,5395.870897,524.38006774,1,1.0,1,1.0
2291,HH11380032,HS3807000040,3,2,3,4,4,4,5,105.6,3,1,2,9,1,3,4,2,3,3,4,3,67,7227.8887897,5026.2887897,488.46343924,1,1.0,1,1.0
2292,HH14380008,HS3807000043,3,2,3,8,4,2,4,75.9,3,1,1,8,1,1,4,4,1,5,5,3,55,13204.679473,9542.799473,927.38576026,1,1.0,1,1.0
2293,HH17380008,HS3807000050,3,2,3,5,5,4,5,125.4,3,1,2,14,1,3,4,2,1,3,4,5,55,13724.547737,10011.927737,972.97645645,1,1.0,1,1.0
2294,HH17380012,HS3807000054,3,2,3,2,4,2,4,135.3,3,1,2,12,1,3,4,5,3,6,3,4,55,14619.333551,10567.013551,1026.9206561,1,1.0,1,1.0
2295,HH17380014,HS3807000056,3,2,3,9,2,2,4,72.6,3,1,1,6,1,3,4,2,1,3,5,3,35,12737.338242,9953.518242,967.3001207,1,1.0,1,1.0
2296,HH17380015,HS3807000057,3,2,3,9,2,2,5,69.3,3,1,1,8,1,3,4,3,1,3,5,3,45,10465.093876,7754.3738761,753.58346706,1,1.0,1,1.0
2297,HH17380016,HS3807000058,3,2,3,8,2,2,4,72.6,2,1,1,8,1,3,4,4,3,3,5,3,35,13700.019209,10780.319209,1047.6500689,1,1.0,1,1.0
2298,HH17380017,HS3807000059,3,2,3,10,2,1,4,82.5,3,1,1,6,1,3,4,2,1,3,2,3,55,7297.3277799,5126.6877799,498.22038677,1,1.0,1,1.0
2299,HH17380018,HS3807000060,3,2,3,9,2,1,6,105.6,3,1,2,7,1,2,4,4,1,4,5,4,45,14974.138934,10797.978934,1049.3662715,1,1.0,1,1.0
2300,HH17380019,HS3807000061,3,2,1,2,2,2,6,92.4,3,1,2,5,1,3,4,4,3,4,5,1,67,11764.662585,9072.0025845,881.63290423,1,1.0,1,1.0
2301,HH17380020,HS3807000062,3,2,3,1,2,2,5,75.9,3,1,1,15,1,3,4,3,1,4,5,2,45,9847.7668818,7098.3468818,689.82962894,1,1.0,1,1.0
2302,HH17380021,HS3807000063,3,2,1,1,6,2,4,99.0,3,1,1,10,2,3,3,2,1,3,3,3,67,6718.38,0.0,0.0,0,0.0,1,0.0
2303,HH18380001,HS3807000064,3,2,3,1,3,3,4,69.3,2,1,1,12,1,1,4,2,3,5,4,3,55,9396.6772055,7566.5972055,735.3350054,1,1.0,1,1.0
2304,HH18380007,HS3807000065,3,2,3,15,2,1,4,75.9,2,1,1,12,1,3,4,4,3,5,4,4,45,13322.069432,10265.629432,997.63162605,1,1.0,1,1.0
2305,HH18380011,HS3807000066,3,2,3,2,3,3,4,69.3,2,1,1,12,1,1,4,2,2,4,4,4,67,7958.074913,5346.254913,519.55830058,1,1.0,1,1.0
2306,HH18380014,HS3807000067,3,2,3,15,2,2,4,75.9,2,1,1,12,1,3,4,4,3,5,3,3,45,11468.835196,8602.4551965,836.00147682,1,1.0,1,1.0
2307,HH18380020,HS3807000068,3,2,3,3,2,2,3,46.2,2,1,1,6,1,3,4,1,5,1,3,4,67,5352.2015325,3155.7615325,306.68236467,1,1.0,1,1.0
